,2BM,2BMP,2BR,F1,F2,F3,F4,F5,F6
0,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,1
2,1,0,0,0,0,0,0,1,0
3,1,0,0,0,0,0,0,1,1
4,1,0,0,0,0,0,1,0,0
5,1,0,0,0,0,0,1,0,1
6,1,0,0,0,0,0,1,1,0
7,1,0,0,0,0,0,1,1,1
8,1,0,0,0,0,1,0,0,0
9,1,0,0,0,0,1,0,0,1
10,1,0,0,0,0,1,0,1,0
11,1,0,0,0,0,1,0,1,1
12,1,0,0,0,0,1,1,0,0
13,1,0,0,0,0,1,1,0,1
14,1,0,0,0,0,1,1,1,0
15,1,0,0,0,0,1,1,1,1
16,1,0,0,0,1,0,0,0,0
17,1,0,0,0,1,0,0,0,1
18,1,0,0,0,1,0,0,1,0
19,1,0,0,0,1,0,0,1,1
20,1,0,0,0,1,0,1,0,0
21,1,0,0,0,1,0,1,0,1
22,1,0,0,0,1,0,1,1,0
23,1,0,0,0,1,0,1,1,1
24,1,0,0,0,1,1,0,0,0
25,1,0,0,0,1,1,0,0,1
26,1,0,0,0,1,1,0,1,0
27,1,0,0,0,1,1,0,1,1
28,1,0,0,0,1,1,1,0,0
29,1,0,0,0,1,1,1,0,1
30,1,0,0,0,1,1,1,1,0
31,1,0,0,0,1,1,1,1,1
32,1,0,0,1,0,0,0,0,0
33,1,0,0,1,0,0,0,0,1
34,1,0,0,1,0,0,0,1,0
35,1,0,0,1,0,0,0,1,1
36,1,0,0,1,0,0,1,0,0
37,1,0,0,1,0,0,1,0,1
38,1,0,0,1,0,0,1,1,0
39,1,0,0,1,0,0,1,1,1
40,1,0,0,1,0,1,0,0,0
41,1,0,0,1,0,1,0,0,1
42,1,0,0,1,0,1,0,1,0
43,1,0,0,1,0,1,0,1,1
44,1,0,0,1,0,1,1,0,0
45,1,0,0,1,0,1,1,0,1
46,1,0,0,1,0,1,1,1,0
47,1,0,0,1,0,1,1,1,1
48,1,0,0,1,1,0,0,0,0
49,1,0,0,1,1,0,0,0,1
50,1,0,0,1,1,0,0,1,0
51,1,0,0,1,1,0,0,1,1
52,1,0,0,1,1,0,1,0,0
53,1,0,0,1,1,0,1,0,1
54,1,0,0,1,1,0,1,1,0
55,1,0,0,1,1,0,1,1,1
56,1,0,0,1,1,1,0,0,0
57,1,0,0,1,1,1,0,0,1
58,1,0,0,1,1,1,0,1,0
59,1,0,0,1,1,1,0,1,1
60,1,0,0,1,1,1,1,0,0
